response_id,age_group,gender,purchase_frequency,ever_returned,return_count,main_return_reason,wanted_exchange,exchange_available,replacement_unavailable,what_happened_when_unavailable,ingested_at,return_count_missing
37,26-35,Female,Once every 3 months,Yes,2,Wrong Size,Yes,No,No Stock in Desired Color,Waited for Restock,2026-08-26T14:19:57.676Z,0
42,26-35,Male,Rarely,Yes,2,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
59,36-45,Non-binary,2-3 times a month,Yes,4,Wrong Size,Yes,No,Other,Kept the Product,2026-08-26T14:19:57.676Z,0
66,46-55,Male,Rarely,Yes,1,Wrong Color,Yes,No,No Stock in Desired Color,Waited for Restock,2026-08-26T14:19:57.676Z,0
71,46-55,Non-binary,2-3 times a month,Yes,1,Wrong Color,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
88,56+,Female,Once every 3 months,Yes,3,Damaged Product,No,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
103,56+,Female,Once every 3 months,Yes,3,Other,No,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
15,18-25,Unknown,Rarely,Yes,5,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
82,26-35,Female,Once every 3 months,Yes,2,Poor Quality,No,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
83,56+,Non-binary,2-3 times a month,Yes,3,Damaged Product,No,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
108,56+,Male,Rarely,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
117,26-35,Male,Rarely,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
123,56+,Male,Rarely,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
128,56+,Non-binary,2-3 times a month,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
137,26-35,Non-binary,2-3 times a month,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
7,26-35,Female,Once every 3 months,Yes,2,Wrong Size,Yes,No,No Stock in Desired Color,Waited for Restock,2026-08-26T14:19:57.676Z,0
25,18-25,Female,Once every 3 months,Yes,5,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
27,26-35,Male,Rarely,Yes,2,Wrong Size,Yes,No,No Stock in Desired Color,Waited for Restock,2026-08-26T14:19:57.676Z,0
33,56+,Male,Rarely,Yes,3,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
55,18-25,Female,Once every 3 months,Yes,5,Wrong Color,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
70,18-25,Female,Once every 3 months,Yes,5,Wrong Color,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
89,36-45,Non-binary,2-3 times a month,Yes,4,Product Didn't Match Description,No,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
107,26-35,Non-binary,2-3 times a month,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
114,36-45,Male,Rarely,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
149,46-55,Non-binary,2-3 times a month,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
4,36-45,Female,Once every 3 months,Yes,4,Wrong Size,Yes,No,No Stock in Desired Size,Not Applicable,2026-08-26T14:19:57.676Z,0
12,26-35,Male,Rarely,Yes,2,Wrong Size,Yes,Yes,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
14,36-45,Non-binary,2-3 times a month,Yes,4,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
35,18-25,Non-binary,2-3 times a month,Yes,5,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
45,18-25,Male,Rarely,Yes,5,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
58,56+,Female,Once every 3 months,Yes,3,Wrong Color,Yes,No,Exchange Not Offered,Bought Another Product,2026-08-26T14:19:57.676Z,0
93,56+,Male,Rarely,Yes,3,Product Didn't Match Description,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
94,36-45,Female,Once every 3 months,Yes,4,Changed Mind,No,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
96,46-55,Male,Rarely,Yes,1,Changed Mind,Yes,Yes,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
145,18-25,Female,Once every 3 months,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
1,46-55,Female,Once every 3 months,Yes,1,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
22,26-35,Female,Once every 3 months,Yes,2,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product,2026-08-26T14:19:57.676Z,0
72,26-35,Male,Rarely,Yes,2,Wrong Color,No,Not Applicable,Not Applicable,Not Applicable,2026-08-26T14:19:57.676Z,0
