response_id,age_group,gender,purchase_frequency,ever_returned,return_count,main_return_reason,wanted_exchange,exchange_available,replacement_unavailable,what_happened_when_unavailable
1,46-55,Female,Once every 3 months,Yes,1,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product
2,26-35,Non-binary,2-3 times a month,Yes,2,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product
3,56+,Male,Rarely,Yes,3,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product
4,36-45,Female,Once every 3 months,Yes,4,Wrong Size,Yes,Yes,No Stock in Desired Size,Not Applicable
5,18-25,Non-binary,2-3 times a month,Yes,5,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product
6,46-55,female,Rarely,Yes,1,Wrong Size,Yes,No,No Stock in Desired Color,Waited for Restock
7,26-35,Female,Once every 3 months,Yes,2,Wrong Size,Yes,No,No Stock in Desired Color,Waited for Restock
8,56+,,2-3 times a month,Yes,3,Wrong Size,No,Not Applicable,Not Applicable,Not Applicable
9,36-45,Male,Rarely,Yes,4,Wrong Size,Yes,No,Other,Kept the Product
10,18-25,Female,Once every 3 months,Yes,5,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product
11,46-55,Non-binary,2-3 times a month,Yes,1,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product
12,26-35,Male,Rarely,Yes,2,Wrong Size,Yes,Yes,Not Applicable,Not Applicable
13,56+,Female,Once every 3 months,Yes,3,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product
14,36-45,Non-binary,2-3 times a month,Yes,4,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product
15,18-25,Unknown,Rarely,Yes,5,Wrong Size,Yes,No,No Stock in Desired Size,Returned the Product
16,46-55,Female,Once every 3 months,Yes,1,Wrong Size,No,Not Applicable,Not Applicable,Not Applicable
17,26-35,Non-binary,2-3 times a month,Yes,2,Wrong Size,Yes,No,No Stock in Desired Color,Waited for Restock
18,56+,Male,Rarely,Yes,3,Wrong Size,Yes,No,Exchange Not Offered,Bought Another Product
